review_description,rating
السلام عليكم انا ساكن في عمان بس ولله مايوصل اي اشي ياريت ايخلوا في الاردن بس بدي احكيلكم اشي تافه عن هادا البرنامج البرنامج ايحط الدعايات على التلفزيون وما يشتغل انصح بعدم تنزيله زباله زبالةزبالة زي وجه يلي اخترع,-1
جمد,1
اكبر حرامية يزيدون سعر الاكل وياخذون سعر التوصيل,-1
والله تطبيق ممتاز وانصح انكم تحملونه اكل على كيف كيفك,1
الطلبات تجي بسرعه أنا مجربه كنا مسافرين للرياض واتصلت وما مرت دقيقتين إلا والطلب عند الباب وحاار بعد,1
l love thes applications,1
حلوه حلوه حلوه حلوه حلوه حلوه حلوه حلوه حلوه حلوه حلوه 🙉🙊🙈,1
لما عملت اكونت جديد مدانيش اي قسايم والعروض مش كويسسه,-1
البرنامج فاشل,-1
انترنت غير محدود,-1
جيد جدا و سريع,1
شغل نظيف انظيف,1
برنامج بطل,1
تطبيق سيء جدا ومعاملة غير محترمة وفيه نصب واحتيال واكواد الخصومات ما هي الا اداة نصب,-1
بجد خدمه ممتازه جدا,1
حلو لاكن احيانا ماتتواجد بعض المناطق,1
الطلبات جميل جدا,1
خدمه فوق فوق الممتاز لان كده فلوسك في محفظتك امنه والسحب من اي ATM,1
افشل تطبيق توصيل,-1
ممكن تعمل الاوردار يوصل بعد تلات ايام 😂,-1
تطبيق رائع صراحتا,1
"تطبيق رائع ولا غلطة دايم الطلب مضبوط وعالوقت شغل احترافيين واحلى شي خانة 
الملاحظات الموجودة في كل حال،اقتراح اضافة تتبع الطلب يكون ميه ميه",1
نقل,-1
اسؤ تجربه في حياتى لا انصح به اطلاقا,-1
حرمية ومفيش مصدقية,-1
اخيس برنامج اطلب ب٣٠ريال يقول لازم٨٠ريال,-1
ممتاز بس  تاخير في توصيل الطلبات,1
ممتاز مره 😍,1
من الأسوء ل الأسوء It is very bad now,-1
تمام تمام تمام,-1
طلبت من مطعم قعدت ساعتين انتظر بعدين دقيت على على البرنامج قالو المطعم مايوصل.. طيب كس امكم اعطوني خبر  والله تطبيق فاشل,-1
جميل وخدمته حلوه,1
تجربة ممتازه,1
مممتاز,1
طبيق فاشل ماهو قادر يحدد موقعي في تشهر حي بجازان وماني قادر اطلب والحد الادنى هالي هنجر سنيشن فجركم بالمميزةت راجع له يالله سلام,-1
تطبيق فاشل ، طلبت اكل من مطعم من خلالكم ، المندوب ما يلبس كمان والاكل فوق بعض ومتسرب لبرع ، يعني ماشي ترتيب لا المندوبين ولا الاكل طعمته حلوه 🤦🏻‍♂️,-1
حضرتك العرض بتاع 50 جنيه مش شغال وكل ما اجي اطلب يوقلي يستخدم لي مرة واحد فقت وانا عمري ما استخدمه وشكرا اعتني رابط اتواصل معاكم بيه ولا ايه,-1
التطبيق جيد نوعن ما,1
تطبيق رائع جدا جدا ويسهل عمليه التوصيل باسرع وقت,1
مممتااااز جدا  جدا جدا                                               والله ما علي منكم صراحه نفعني,1
رائععععع جدا,1
وقت التوصيل بيتم زيادته بدون حتى إخباري وأوقات بيتم إلغاء الأوردر بعد ساعة من طلبه,-1
ممتاز بصراحه,1
ممن,1
روعه و سريع جدا نصيحه من مجربة يا جماعه نزلوه🌸,1
تطبيق جميل ويوصل بسرعه,1
سيء جدا جدا ومعا ذالك يقول انتظر,-1
ممتاز وعملى,1
تطبيق جدآ ممتاز بس ارجو ان يضيفو كوبو خصم,1
تطبيق رائع جدا اشكركم بس ما عم يوصلني اي هديه أو قسائم ممكن اعرف ليش,1
Cannot find my location and cannot accept my mail to register ..what is that app ?!!!!!,-1
احله برنامج في العالم عرفته.,1
بتقبلو الدفع عن طريق الفيزا كارد,0
مريح وتعامل جيد بالرغم من بعض التأخير لا سباب الزحام شكرا سويفل,1
موقع جبار❣,1
Great job 👍,1
التوصل الي موقع مسبقة حلم لتسجيل رقم الهاتف ٠١٢٧٨٤٠٦٠٥٦,1
هاي النجمة بس عشان الإعلانات يلي قرفتو عرضي فيها وين ما اروح بلاقي الكم اعلان ابلعوا نجمة 😂🤞,-1
هو حلو جدآ بس انا من بني سويف ينفع اطلب,1
يوسف يوسف احمد احمد,1
رررررااااائئئئئععععع,1
اشتركو بقناتي علا اليوتيوب Khaled_x3_,1
برنامج عقيم ولا يفيد لقلة المطاعم وفقر المعلومات .. يحتاج مئات الالاف من  المطاعم حتى يستفاد منه,-1
سيئ جدا جدا غير دقيق بالمواعيد لا يستاهل التحميل نهائيا,-1
المشروع ناجح وارجو لكم التوفيق,1
الأذان لايعمل نهائيا الا لو فاتح البرنامج برجاء الإفادة ملحوظة تليفونى فيفو vivo,-1
برنامج فننن,1
❤️ ❤️ ❤️ ❤️,1
زباله واعلانات بتطلعلي دايما ملهاش داعيه خفوووو مشااان الله,-1
Mmtaz,1
البرنامج راءع وسريع التوصيل,1
انه برنامج جميل طلبت بيتزا وجلبها شكرا,1
مره حلو والنصح بي,1
تطبيق بس سمعه بس ك تجربتي معاهم كذا مرا للاسف فاشله جدآ تاخير مستمر اقل تاخير حصلي ساعه و نص و اذا تتواصل معاهم يصرفونك لا تاخذ حق ولا باطل بالنسبه لي راح يتم التوقف بالتعامل معاهم,-1
هو بالنسبه للفنيين ليه التأخير في تفعيل حسابهم.. هو انتم بتخترعوا؟,-1
اشي فخم,1
ممتاز و الان سوف يأتي طلبي 😉,1
حلو اوى كن ياحلو,1
مبيجليش اي عروض,-1
مطعم الطفوله ومازال المفضل,1
منتااااز,1
هو ممش موجود في مصر,-1
شركة طلبات شركة فاشله جدا جدا جدا وخصوصا طلبات جو,-1
المطعم ممتاز جدا,1
بالتوفيق 👍,1
طبيق ممتاز جدا,1
مره حلوووو,1
حلو مرة 💕,1
للأسف لا يعمل اي قسيمة ارجو حل المشكلة,1
الرنامج ميشتغل ليش,-1
تطبيق زبالة لا يستحق ولا نجمة,-1
تطبيق ممتاز بس يكون افضل لو تضيفو خاصية تتبع الطلب,1
سايق محترف,1
لسة عامل إزالة للبرنامجلاني كنت حجاز علي رحلة من الاسكندرية ميدان زويل لمدينة العاشر من رمضان وللاسف بتصل الكابتن بيقولي احنا مبنروحش ..... ضياع وقت ومواعيد علي الفاضي.... رجاء التاكد من اماكن الرحلات عندكم,-1
تطلبيق ممتاز,1
مفيش اى التزام منصحش حد يتعاما معها ابدا تعديل------ الشركة لغت الرحله و عوضتنى ب 10 ج و انا ركت الرحله الى بعدها لكن المشكله انى وصلت متاخر عن ميعادى وبصراحه بشهادة الناس الى ركبت معايه بيقولو ان ده حادث نادر,0
زيدوا من المطاعم ..نزود لكم النجوم,0
شغله كبيره,1
يعني هو الفراق بين الطلب حقيقي و الفراق بين الطلب بهذا انا عيبني بس ما اعرف كيف يستخدمونا,0
😍❤️,1
برنامج جيد و مفيد,1
احمد المصري,1
يحافظ على مستواه يجيد التعامل مع العملاء يهتم بفحص شكاوى عملاءه وحلها سريعا,1
صراحه التطبيق عجبني كويس والله يحطو أشياء زي كذا صح,1
برنامج رائع وعندهم سرعة استجابه.,1
التطبيق سئ لأبعد درجة,-1
انا كابتن ومعايا سياره نيسان صني ٢٠١٤ ممكن تفعيل او دعم او رقم للتواصل,1
لا انصح به و سيتم ازالته الان كل عروضكم وهمية و بتضحكوا على الناس تم عمل الطلب و و بعد وضع كود الخصم وصلني الطلب بكامل القيمة,-1
تطبيق فاشل تطبيق اعلاناته نابشيتلي فكل محل حتى باللعاب على النت,-1
لايعمل بشكل سريع في تلفونات سمسونق,-1
قيمة التوصيل تذداد اكثر واكثر حتي مع المطاعم ذات المسافات القريبه من موقع الطلب . ارجوان تراعو لهذه النقطه بالتحديد,-1
الخدمة سيئة جدا والتواصل مع الموظفين أسوأ للاسف تطبيق مستفز للزباين ويعطي معلومات غير صحيحة بأن الطلب تم استلامه وهذا غير صحيح تماما,-1
التحديث الجديد غير جيد لماذا قمتم بإلغاء خاصية تتبع الطلب و قللتم عدد قوائم الطعام,-1
احلا واسرع واجود تطبيق للخدمه والاسعار واهم شي سريع خصوصا وانت جوعان مع طلبات طلباتك توصل زى ماطلبت انا احب طلباتى شكرا لخدماتكم لنا طلبات,1
أشي ناهي,1
هو حلو لاكن ما تقدر تطلب الا وجبات بس,1
لا يستحق نجمة اولا لا يوجد هاتف خدمة عملاء بحال رن عليك وما استطعت اترد صعب ترجع اترن عليها لا يوجد خاصية تتبع الطلب أو رقم لسائق وقت الانتظار طويل جدا بحدد بساعة انتظرنا الطلب ساعتين بالنهاية الغينا الطلب,-1
ماعندهم شي,-1
تطبيق ممتاز بس لو يزيدون عدد المطاعم المشتركه,1
Money,1
شكران swvl,1
ممتاز جدا جدا ربنا يحفظكم,1
ه٦هدخههمدهههه٦ه,1
ما بعرف ليش كل الناس بتحتاج هيك تطبيق سيه جدا بصراحه الاكل بارد وكل شي ناقص وبس يكون في غلط منهم الحل بدو اسبوع لا يتعالج,-1
ممتعة ولكن نتمني اضافة المزيد من المطاعم لشرق آسيا كالتايلندية واليابانية والتي تقدم السوشي كسومو و يوني سوشي منطقتنا عسكر وجو بالمحافظة الجنوبية,1
تطبيق ممتاز انصح بتنزيله,1
"
لو تأخرت دقيقتين بالعدد عن الباص، بيمشي وبيتوقع عليا غرامة ثمن الرحلة كامل. 
طب لو الباص تأخر عليا عشر دقائق كاملين ووصل في نقطة ثانية ولحقته وهو بيتحرك وطلعت أجري وراه أخبط على الباص؟ 
طب لما يقول انه وصل وهو موصلش.. وأفضل واقف ٢٥ دقيقة في الشارع والشمس؟ 
كل دي حاجات لا تستدعي ان ميكنش عندكم شيئ اسمه تعويض أصلاً؟ 
أسوأ خدمة عملاء وحقيقي أفشل إدارة شفتها في حياتي.. وانا بقولكم الشركة بالنظام ده هتفلس وهتفشل فشل ذريع.. احنا عندنا قدرة ممتازة اننا نبوظ كل شيئ ممكن.",-1
زفت وشركه حرميه ونصابين ومافيش امن ولاسلامه امان للمواطن معاهم ناس زباله حسبي الله ونعم الوكيل,-1
حلوه البرنامج مرهههه,1
تطبيق زبالة اسبوع بقعد استناه لرمز,-1
اخر فترة زي الزفت لا طلبات بتوصل ولا بتبلغوا ب الالغاء ورافعين الاسعار عن اسعار المطاعم الاصليه الضعف حذفت التطبيق والناقص منكم,-1
من اول تجربة اسوء تجربة الطلب المفروض من 45 دقيقة ل 60 دقيقة وانتظرت ساعتين ولم يصلني الاوردار وقمت ب الغاءه ولم يقومو ب الغاءة المندوب وصلني ايضا ولاكن لم استلم الاوردار لاني طلبت من مكان اخر انصح بعدم التعامل معه نهااااائي,-1
شركه فشله لغيتو احسن معاد من ستي سكيب الساعه ٧ صباحا الي الجامعه الأمريكيه بالتجمع واول معاد الساعه ٨ طيب والعنده امتحان والريح شغله يعمل ايه نشوف اوبر او كريم احسن,-1
ممتاز أحب هذا البرنامج .. شكراً لك,1
لذيذه جدا جدا جدا,1
تطبيق مش بيشتغل يا اخونا و اى كلام ازاى كان بعد ما بتنزلو مش بيشتغل امال لو حن علينا واشتغل هيعملو فينا ايه الخلاصة برنامج زبالة😠😠😠😠😠,-1
تمام أجابني 😜😜😜😜😜😜,1
خالد سيد,1
التطبيق جميل... شكر لكم,1
حلوةاوي,1
تطبيق سهل الكثير من الوقت,1
يحتاج الى تطوير بوضع صور الاكلات بجانب كل طلب .. يحتاج الى التوسع في اضافة مطاعم كثيرة للتطبيق,0
Very bad application to much disturb in YouTube. Advertising omg very noisy baaaaaaaaaaad 😠😠😠😠😠,-1
نجمه وحده و متضايقه اني عملتها للتطبيق زي دا بجد حسبي الله ونعم الوكيل حملته و من اول طلب ليا كرهتهم بجد نصابين ومافيش من اول طلب خصم لاااااااااا والله كدابين ونصابين ومكنتش عاوزه اكتب كدا بس المقلب اللي خده ضايقني وكنت مكتفيا ب الدعا عليهم,-1
برنامج عملي جدا,1
لمن اطلب مثلن طلبت وجبت اطفال بحدعش11 ياخد منك حق الوجبة بس ولا حق الطوصيل  كمان بلا عليكم ردو سريع,0
ماشاء الله عليكم روووووووعة,1
تم جميل,1
هل يمكننى العمل معكم في الدمام,1
٠٠٠,1
الله يلعنهم كذابين,-1
كل لما احجز رحلة من مكانى للغردقة يقولى لا يوجد رحلات فى هذا التوقيت ودة فى اكتر من يوم لا اما انا مش عارف استخدم الابلكيشن او ان مفيش رحلات كتير!!!,1
وجع حطو نجران من زينك اشفو,0
برنااااامج جدا رااائع,1
نركدد=د عنز.ىاؤبكذذل. دذ,0
عروض وهميه.. عملت اول اوردر ومجاش الخصم بقسيمه ٧٥ج... تجربة فاشله ان صدقتكم,-1
زي الزفت ولو فيه أقل من نجمة كمان يبقي احسن واسعارة اووووووووووووفر جدا دا خراب بيوت,-1
ممكن اعرف اطلب ازاى,1
جمييييييييييل  ويفك ازمه,1
كذابين كلامكم غير وفي الواقع غير,-1
هو ممكن ندخل في التطبيق السيارات السوزوكي التونايه وهي سياره متوسطه وسهله الحركه واظن انها الخدمه ستكون عاليه عند اشراف مكاتب في كل حي وباوراق رسميه للسيارات والسائقين واكون اول من يبادر بالدعم بالسيارات والسائقيين ٠١٠٩٥٤٥٣٨٠٧,-1
اي برنامج حق مطاعم ويتأخر.. فاشل,-1
ممتاز ما شاء الله,1
انه التطبيق جامد جدا وروعه جدا بس في مطعم غالي مو معقول!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!,1
Not cool Very not good Hahahahahahahahahahahah no one CE I hat it 😂😂😂😂😊😊😊😊😊 bla bla bla bla,1
💙💙💙💙💙💙💙💙,1
yunis,1
جميل وسهل الاستخدام 😛😍,1
(•._( حـڵـــniceـــۆۆ )_.•) 😍,1
I left,1
Art Giving شكلتس ختمتي تعليقات اليوتيوب وبديتي بتعليقات قوقل بلاي 😱😱,1
رائع جدا قمة الروعة,1
تطبيق معقد ومعينين سواقين زباله,-1
ياخي في هرديز وكودو و ماكدونلز وكتاكي في ينبع ويقلي مافي الا مطاعم صيني يريت تحطون مطاعم اكثر لنو مافي الا ثلاثة,-1
اسوأ تطبيق وتقييم صفر ومعظم المطاعم تؤخر الطلب أكثر من ساعة وعدم احترام للعميل من المطاعم والمطعم يوصل الطلب بأسطوله ومتاخر جدا يفقد طعمه ولا تستطيع التتبع ولا تحصل على رقم تواصل للدرايفر ولا فى مطعم يرد عالهاتف وعند الشكوى لخدمة العملاء دون أى فائدة ردهم تم تسليم الأوردر ولا يفرق تأخير ساعة او اتنين ولا يفرق جودة صفر تقييم,-1
اسوأ تطبيق على الاطلاق عدم احترام المواعيد وليس فقط تأخير الطلب ولكن عدم وصوله من الاصل,-1
اهم شيء بطنك,1
هو نفسة برنامج على خطك؟,0
العروض وهميه و اغلى في السعر لو انك تطلبه من المطعم نفسه,-1
الأفضل على الإطلاق,1
المفروض يبقى المصداقيه اكتر من كدا احنا بنتعامل معاكم .. ولا هى تجميع فلوس على حسابنا وخلاص .. برجاء الاهتمام والرد عليا لانى عندى شكوى وعاوزه اوصلها للقائمين على الخدمة,-1
Dzcx😣😣😕,1
تطبيق زي الزفت وغبي ٣ مرات اطلب ويقبل الطلب وبعد ثلث ساعة او نصف ساعة يلغي الطلب وفوق هذا كله اذا قبل الطلب يدق عليك مندوب التوصيل يبي اللوكيشن ايش فايدة تحديد اللوكيشن في التطبيق,-1
سييييء جداااا اول مره استخدمه مواعيد الرحلات غير مناسبه للذهاب لمشوار بدري من التجمع للمقطم اول رحله 9.20وانا محتاجه من 7.30اوحتى 8 ومفيش رحلا ت قريبه من مكاني مع اني قريبه من ميدان لازم اركب مواصله عشان اروحله والتكلفه غاليه ايه فايدته انا لوركبت اوبر او كربم مع حدوقسمنا الفلوس هيبقى اقل من كده كتير ده غير انه هياخدني من عند البيت مش اركب مواصله تاني حتى المساعده حاولت ابعت مفيش فايده مفيش طريقة للتواصل غير كده انا غلطانه اني نزلت التطبيق ده وشغلت مساحه في تليفوني عالفاضي,-1
للاسف في خلل في البرنامج صارله اسبوع ماتصلحت المشكله اللي هي أثناء دفع مايكتمل ويخصم المبلغ من حسابي وتكرر ٤ مرات وللحين الوضع مستمر فيه الخلل،للعلم انه خدمات العملاء عندهم علم بالوضع الحاصل,-1
اول مرة تجربة سيئة جدا لا انصح باستخدامه..جربته لتاني مرة بعد ما عملوا خصومات علي الرحلات...والكابتن طريقته في الكلام سيئه وزعيق وحاجه قرف,-1
ممتاز ومصداقية في التعامل,1
💓💓💓💓💓🇰🇼🇰🇼🇰🇼🇰🇼🇰🇼,1
ليش م فيه بعرعر  أكثر من الف شخص بعرعر يبغى الخدمه ذي (إلغاء تثبيت)😤💜,-1
التطبيق جميل جدااا ولاكن مراتن يتأخر,1
أصبح مستوى التطبيق في الفتره الأخيره ينزل كثيرا أصبحت لا أستطيع الإعتماد عليه في الطلب من المطاعم والبقالات طول الوقت يوجد خلل فني في التطبيق,-1
❤️ أفضل تطبيق,1
من الشركات المتميزة فى قطاع التطوير العقاري,1
روعة,1
برنامج ولا اروع وسريع وواضح شكرا,1
الان. لم اعرف عنه شىء اوصفه بعد. الاستعمال,1
برنامج رائع للمعاملات والتخليص المالي,1
لو سمحتم كيف ممكن أسجل منتجاتي في التطبيق؟ بحثت بكل السبل ما وجدت الطريقة,1
خدمة متميزة والطلب سريع وسخن بيوصل,1
توصيل متأخر كثير عن الوقت الي بعطيك ياه,-1
تطبيق كان تمام وبقي زفت,-1
اسعار حلوة,1
في مشكلة مالي ملاقي السعودية باكملها,0
والله مرا رااااائع حتى يجيب الأكل في وقته المناسب ومطاعمه كثيره وحلوه ويوصل لبلدان كثيره.,1
تطبيق جيد ومريح للطلبات الخارجية من المطاعم,1
البرنامج يفك ازمه,1
لا اريد ظهور الاعلان,-1
زمان كان حلو و الحين كل شي سيء من وقت تحضير لنوعية الوجبات للتوصيل للأسعار الخيالية (تم حذف التطبيق),-1
اب ذلك,1
الهاتف لا يستقبل البرنامج,-1
التطبيق بحاجة الى كثير من التحسينات بصراحة لا يلبي الطموح ولا يفي بالغرض,-1
ابلكيشن فوق الممتاز,1
طلبات في البحرين سئ للأسف،، لا يتم التوصيل الي اي موقع ،، دائما يخبرنا بأنه المنطقة خارج نطاق التوصيل,-1
برنامج رائع ويستاهل 5 نجوم,1
تجربة ممتازة بس ف الاول كان ف صعوبة ف تسجيل البيانات وبعدها كل شئ تمام,1
ارفعو التسعيره للكباتن,-1
لماذا تم الغاء محطة ميدان زويل في اسكندرية؟! حرام عليكم يعني مطلوب مني اركب تاكسي علشان اروح لاقرب محطة !!!,0
اخطاء متكررة,-1
برنامج جميل ولكن ان ساكن في قرية عمر شاهين _مركز بدر _البحيرة ولما اجي احدد المكان عن طريق الموقع الجغرافي (GPS) بيقول المكان مش موجود ياريت تحلوا المشكلة دها,-1
دد المطاعم. وخاصه مطاعم الروز,1
تطبيق فاشل اغلب المناطق المعروفه مثل خميس مشيط ومناطق أخرى ارجو التعديل,-1
كويس بس هارديز ابو كلب و يتأخر لحد الحين ما جاء   ليش كذا,0
الموقع جدا مميز 💜👌,1
البرنامج جدا حلوو بس كان الحي اللي انا ساكنه فيه موجود فجاه اختفى واستصعب علينا الطلب كان كيلو ١٤ في جده موجود والحين لا,1
يستاهل البرنامج فوفو من الكويت,1
انه رائع شكرا الو كثير الان و ساعدنا كثير طبيق طلبات رائع شكرا الو كثير وانه رخيص كثيرا شكرا الو😎😎,1
التطبيق جميل ولكن نحتاج لتفصيل اكثر لبعض الأطباق محتوياتها ومكوناتها خاصة الشعبية,1
بغزي تطبيق منايك,1
احببت استعماله جدا,1
موب سريع,-1
😍😍,1
فاشل وسط فى البلد لا يقوم بالتوصيل,-1
احب م,1
الشوقية بلوك السديس,1
Suiiiiiiiiiiiiiiiiiiiiiiiiii,1
برنامج مية مية ❤🖤,1
انتو برنامج فاشل و نصب ، المشوار غير اللي انا حجزه بحجة اقرب نقطة ، و السواق قافل موبايله ، انا منصحش اي حد يتعامل مع شئ زي ده ..,-1
فكره عجيبه,1
تجربة ممتازه .. دائما عروض قويه,1
افشل تطبيق,-1
يقدر الشخص أنو يدفع كاش ارجو الرد في اسرع وقت ممكن,1
Bad because my order is canceled without any reson,-1
بشرط مطاعم في تبوك الدخل واحد يكون احسن مطعم كثيره,1
الزلفي مو موجود,0
حاضر,0
في بعض اعلاناتك لا يوجد بها زر اغلاق وتعطل البرنامج وعند النقر على الاعلان تفتح أكثر من عشر صفحات على جوجل أرجو اصلاح الاعلانات التي ليس بها زر اغلاق أشكركم للاهتمام، وما زالت مشكلة زر إغلاق الاعلان غير متوفر,1
رجعوا التسعيره الكباتن تطبيق فاشل,-1
احلا برنامج واحلا مطعم بل الكويت كول بوب,1
جميله اوي,1
اريد كود خصم,1
جيدا جدا الطعم رائعه,1
محمد,1
زين احسن من غيره,1
خدمة سيئة خسرتو ثقة العملاء بسبب طمع رحلات الساحل,-1
🤙🤙🤙🤙🤙🤙🤙🤙🤙🤙🤙🤙,1
السلام عليكم ورحمة الله وبركاته اريد اكون مندوب توصيل كيف خطوات العمل معاكم مع تمنياتي لكم بالتقدم والازدهار,1
انمممنوت,-1
تجربة سيئة جدا مع خدمة التوصيل الغير منضبطة لا بالتوقيت ولا الصدق مع العميل ولا اتمنى تكرار تجربة انتظار لأكثر من ساعتين ونصف لوجبة من مطعم لا يبعد اكثر من 5 دقائق من المنزل .,-1
التطبيق شكله مرره حلو بس لو كان فيه توصيل ل سبت العلايا قريبه من بيشه السعوديه كان الى   طلبا كل شوي,1
عقبال المفطحات,1
جميل جداً,1
من أسوأ التجارب من الناحية التجاريه كصاحبة مطعم غير صادقين بالتعامل عند اي اتفاق تم بيننا والحسابات بتتم بين الشركاء بالوقت المناسب الهم لا انصح اي صاحب مطعم بالاشتراك معاهم حاليا الى ان يطورو بانفسهم,-1
best application,1
ليس على جميع الدول,-1
واو حلو,1
اكثر من رائع و عروضه ممتازة,1
التطبيق رائع ولكن العروض قليله جدا في محافظه مثل بورسعيد وكل التركيز على القاهره والمحافظات الاخرى,1
طريق 4619  عراد 246,1
ممتاز بس لازم يكترو عروض وتخفيضات خاصة,1
توفير الوقت وسهولة الاستخدام,1
افضل تطبيق على الاطلاق :-),1
تمام ممتاز,1
ممكن اعرف فى توصيل من التجمع الخامس لجامعة القاهرة فرع زايد و العوده منها و لا لأ ؟,0
مقاطعه,-1
ما صار معي,1
حلو بس البيك محسلت,-1
جميل بس فيه مشكله انه يتاخر,0
احلى مافيه ..عرض المنيو للمطاعم,1
لازم اتعالجو مشكلة الوقت قبل ما يفشل التطبيق,0
جميل جداوأحلي برنامج,1
"سيئه جدا ومن اسوء الخدمات والسائق لم يتواصل في نقطة الالتقاء وتغير السيارة بسيارة اخرى وعدم إعادة الثقة مرة اخرى ولدى المحادثه كامله بين الإدارة
",-1
أعجبني جداً وسريع,1
خدمات ممتازة وكابتن محترم,1
اقول بلا كسل وهبل اطبخي لنفسك احسن لك ولااسرتك,-1
مشكلتكم انكم مبتوصلوش لكل الاماكن وده وضع سيئ للاسف,-1
خلف حارة المظلوم,1
زباله زباله زباله مفيد للشركه فقط مش للافراد,-1
لية مافيش توصيل لعندي مع انه منطقة حيوية,-1
جمعية شهداء الخير,1
جميل جدا,1
ليش كل مناطق شي ماعاد عبري ليش لوسمحتوا سووى عبري,-1
صصث,1
حلو التطبيق حيييلللل,1
احب هذا تطبيق وقت الضروره,1
كابيتر هى المستقبل,1
Waw,1
لايعجبني بسبب اول يوم نزلت تطبيق رسوم توصيل كتير اما ديلفيروي اول حساب اول 14 او 15 يوم توصيل.مجانا اذا توصيل مجانا فتره جميل جميل,-1
شركه جيده لخدمه تجار البقاله ، والتى تستخدم عروض وخصومات للانتشار والتوسع وهو عباره عن ابليكشن لطلب المنتجات جمله ، والشركه تتعامل لفتره فى السوق مما يسمح لها لخلق مناخ جيد لتجار الجمله عن طريق الابليكشن,0
روعه ويسهل عالناس الي مالها خلق تطلع,1
للأسف مش قوي 😔 اول مرة استخدمه النهارده طلب العرض ١ + ١ وجبة كفتة من الحاتي جالي الوجبة لا تكفي لإشباع بني آدم ٣ كفتات صغيرين وشوية رز صغيرين جدا ما يشبعوش طفل غير طبعا ان كلمني الكول سنتر يسألني على العنوان اللي انا كاتبه تفصيلي وبيقولي مش ظاهر عندي وكمان طلبت ٢ كولا جالي ٢ اسبرايت 😂😂😂 حمدت ربنا انه ماجبليش فراخ بدل الكفتة 🙈 في انتظار التركيز شوية وتصحيح الأخطاء الصغيرة ومش معنى إني طالب عرض انه يتحطلي فتافيت أكل عشان انا مش بصوصو🐥🐥🐥,0
خدمة جيدة ولكن اسعار غير مناسبة لأى طبقة وغيرملائمة لمواصفات اعلان سوفيل وهذا الشى كذب وليس حقيقة لأن الاسعار أعلى. من المتوقع بكتير ارجو من ادارة الشركة الاهتمام بتقدم سوفيل قبل أن تنهار من الوضع الغيرر مناسب لها الان انا من مستخدمين سوفيل انا و10من اصدقائى قررنا الانسحاب من الشركة لعدم تقدمها ف ارض الواقع وتسعيرتهم عالية للغاية وإذا قدمت شكوى لن يتم مرجعتها,-1
سهل وايد,1
